"1.0","STATE ABBREVIATION","STATE","DISTRICT","FEC ID#","(I)","CANDIDATE NAME (First)","CANDIDATE NAME (Last)","CANDIDATE NAME","TOTAL VOTES","PARTY","PRIMARY VOTES","PRIMARY %","RUNOFF VOTES","RUNOFF %","GENERAL ","GENERAL %","GE RUNOFF ELECTION VOTES (LA)","GE RUNOFF ELECTION % (LA)","COMBINED GE PARTY TOTALS (CT, NY, SC)","COMBINED % (CT, NY, SC)","GE WINNER INDICATOR","FOOTNOTES"
"93.0","AZ","Arizona","02","H4AZ02150","","Sampson U.","Ramirez","Ramirez, Sampson U.","","W","","","","","56.0","0.0002552822920702938","","","","","",""
"94.0","AZ","Arizona","02","H4AZ02168","","Sydney","Dudikoff","Dudikoff, Sydney","","W","","","","","48.0","0.00021881339320310898","","","","","",""
"95.0","AZ","Arizona","02","n/a","","","","","District Votes:","","114629.0","","","","219365.0","","","","","","",""
"96.0","AZ","Arizona","03","H2AZ07070 ","(I)","Raul ","Grijalva","Grijalva, Raul ","","D","28758.0","1.0","","","58192.0","0.5572451832841766","","","","","W",""
"97.0","AZ","Arizona","03","n/a","","","","","Party Votes:","D","28758.0","","","","","","","","","","",""
"98.0","AZ","Arizona","03","H2AZ07146","","Gabby","Saucedo Mercer","Saucedo Mercer, Gabby","","R","18823.0","1.0","","","46185.0","0.44226644195043474","","","","","",""
"99.0","AZ","Arizona","03","n/a","","","","","Party Votes:","R","18823.0","","","","","","","","","","",""
"101.0","AZ","Arizona","03","H4AZ03083 ","","Lee","Thompson","Thompson, Lee","","W","","","","","8.0","7.660780633546558e-05","","","","","",""
"102.0","AZ","Arizona","03","n/a","","","","","District Votes:","","47581.0","","","","104428.0","","","","","","",""
"103.0","AZ","Arizona","","n/a","","","","","","","","","","","","","","","","","",""
"104.0","AZ","Arizona","04","H0AZ01259 ","(I)","Paul","Gosar","Gosar, Paul","","R","65354.0","1.0","","","122560.0","0.699627238424697","","","","","W",""
"105.0","AZ","Arizona","04","n/a","","","","","Party Votes:","R","65354.0","","","","","","","","","","",""
"106.0","AZ","Arizona","04","H2AZ04143","","Mike","Weisser","Weisser, Mike","","D","19643.0","1.0","","","45179.0","0.2579019174672763","","","","","",""
"107.0","AZ","Arizona","04","n/a","","","","","Party Votes:","D","19643.0","","","","","","","","","","",""
"108.0","AZ","Arizona","04","H4AZ04099","","Chris","Rike","Rike, Chris","","W(LIB)/LIB","29.0","1.0","","","7440.0","0.042470844108026644","","","","","",""
"109.0","AZ","Arizona","04","n/a","","","","","Party Votes:","LIB","29.0","","","","","","","","","","",""
"110.0","AZ","Arizona","04","n/a","","","","","District Votes:","","85026.0","","","","175179.0","","","","","","",""
"111.0","AZ","Arizona","05","H4AZ01038 ","(I)","Matt","Salmon","Salmon, Matt","","R","71690.0","1.0","","","124867.0","0.6957813031098332","","","","","W",""
"112.0","AZ","Arizona","05","n/a","","","","","Party Votes:","R","71690.0","","","","","","","","","","",""
"113.0","AZ","Arizona","05","H4AZ05088","","James","Woods","Woods, James","","D","20249.0","1.0","","","54596.0","0.3042186968901668","","","","","",""
"114.0","AZ","Arizona","05","n/a","","","","","Party Votes:","D","20249.0","","","","","","","","","","",""
"115.0","AZ","Arizona","05","n/a","","","","","District Votes:","","91939.0","","","","179463.0","","","","","","",""
"116.0","AZ","Arizona","06","H4AZ06045","(I)","David ","Schweikert","Schweikert, David ","","R","69902.0","1.0","","","129578.0","0.6486164504244755","","","","","W",""
"117.0","AZ","Arizona","06","n/a","","","","","Party Votes:","R","69902.0","","","","","","","","","","",""
"118.0","AZ","Arizona","06","H2AZ05132","","W. John","Williamson","Williamson, W. John","","D","25306.0","1.0","","","70198.0","0.3513835495755246","","","","","",""
"119.0","AZ","Arizona","06","n/a","","","","","Party Votes:","D","25306.0","","","","","","","","","","",""
"120.0","AZ","Arizona","06","n/a","","","","","District Votes:","","95208.0","","","","199776.0","","","","","","",""
"121.0","AZ","Arizona","07","H4AZ07043 ","","Ruben","Gallego","Gallego, Ruben","","D","14936.0","0.4890314976098487","","","54235.0","0.7485439037182212","","","","","W",""
"122.0","AZ","Arizona","07","H4AZ07068","","Mary Rose","Wilcox","Wilcox, Mary Rose","","D","11077.0","0.36268089843494206","","","","","","","","","",""
"123.0","AZ","Arizona","07","H2AZ02220 ","","Randy ","Camacho","Camacho, Randy ","","D","2330.0","0.07628838975836554","","","","","","","","","",""
"124.0","AZ","Arizona","07","H4AZ07076","","Jarrett","Maupin","Maupin, Jarrett","","D","2199.0","0.07199921419684369","","","","","","","","","",""
"125.0","AZ","Arizona","07","n/a","","","","","Party Votes:","D","30542.0","","","","","","","","","","",""
"126.0","AZ","Arizona","07","H6AZ07022","","Joe","Cobb","Cobb, Joe","","LIB","300.0","1.0","","","10715.0","0.14788693515885942","","","","","",""
"127.0","AZ","Arizona","07","n/a","","","","","Party Votes:","LIB","300.0","","","","","","","","","","",""
"128.0","AZ","Arizona","07","H8AZ04116","","Rebecca","DeWitt","DeWitt, Rebecca","","W(AE)/AE","4.0","1.0","","","3858.0","0.053247577773483865","","","","","",""
"129.0","AZ","Arizona","07","n/a","","","","","Party Votes:","AE","4.0","","","","","","","","","","",""
"131.0","AZ","Arizona","07","H4AZ07126","","Gary","Dunn","Dunn, Gary","","W","","","","","129.0","0.0017804400033124466","","","","","",""
"132.0","AZ","Arizona","07","H4AZ07118","","Gustavo","Ortega","Ortega, Gustavo","","W","","","","","17.0","0.0002346316283435007","","","","","",""
"133.0","AZ","Arizona","07","H4AZ07100","","Samuel","Esquivel","Esquivel, Samuel","","W","","","","","4.0","5.5207441963176636e-05","","","","","",""
"134.0","AZ","Arizona","07","n/a","","","","","District Votes:","","30846.0","","","","72454.0","","","","","","",""
"135.0","AZ","Arizona","08","H4AZ04024","(I)","Trent","Franks","Franks, Trent","","R","53771.0","0.732574931880109","","","128710.0","0.7581165771369334","","","","","W",""
