"#","STATE","STATE ABBREVIATION","DISTRICT","FEC ID","INCUMBENT INDICATOR","FIRST NAME","LAST NAME","LAST NAME, FIRST","TOTAL VOTES","PARTY","PRIMARY","PRIMARY %","RUNOFF","RUNOFF %","GENERAL","GENERAL %","GE RUNOFF","GE RUNOFF %","COMBINED GE PARTY TOTALS (NY, SC)","COMBINED % (NY, SC)","Notes (See Endnotes Tab)"
"116.0","Arizona","AZ","07","","","","","","Party Votes:","REP","16587.0","","","","","","","","","",""
"117.0","Arizona","AZ","07","H6AZ07022","","Joe","Cobb","Cobb, Joe","","W(LBT)/LBT","13.0","1.0","","","4673.0","0.0355293670404866","","","","",""
"118.0","Arizona","AZ","07","","","","","","Party Votes:","LBT","13.0","","","","","","","","","",""
"119.0","Arizona","AZ","07","","","","","","District Votes:","","43204.0","","","","131525.0","","","","","",""
"120.0","Arizona","AZ","08","H6AZ08038","","Gabrielle","Giffords","Giffords, Gabrielle","","DEM","33375.0","0.5434871110097869","","","137655.0","0.5425469020967997","","","","",""
"121.0","Arizona","AZ","08","H6AZ08061","","Patty","Weiss","Weiss, Patty","","DEM","19148.0","0.31181097233304567","","","","","","","","",""
"122.0","Arizona","AZ","08","H6AZ08020","","Jeffrey Lynn ""Jeff""","Latas","Latas, Jeffrey Lynn ""Jeff""","","DEM","3687.0","0.060040059274699145","","","","","","","","",""
"123.0","Arizona","AZ","08","H6AZ08095","","Alex","Rodriguez","Rodriguez, Alex","","DEM","2855.0","0.04649155661222296","","","","","","","","",""
"124.0","Arizona","AZ","08","H6AZ08111","","William ""Bill""","Johnson","Johnson, William ""Bill""","","DEM","1768.0","0.028790568157761893","","","","","","","","",""
"125.0","Arizona","AZ","08","H6AZ08046","","Francine","Shacter","Shacter, Francine","","DEM","576.0","0.009379732612483512","","","","","","","","",""
"126.0","Arizona","AZ","08","","","","","","Party Votes:","DEM","61409.0","","","","","","","","","",""
"127.0","Arizona","AZ","08","H4AZ08017","","Randy","Graf","Graf, Randy","","REP","27063.0","0.4223578250827143","","","106790.0","0.42089705186820114","","","","",""
"128.0","Arizona","AZ","08","H6AZ08087","","Steve","Huffman","Huffman, Steve","","REP","24119.0","0.3764123852924652","","","","","","","","",""
"129.0","Arizona","AZ","08","H6AZ08079","","Mike","Hellon","Hellon, Mike","","REP","8095.0","0.1263343529558649","","","","","","","","",""
"130.0","Arizona","AZ","08","H6AZ08129","","Frank","Antenori","Antenori, Frank","","REP","2724.0","0.04251201697983644","","","","","","","","",""
"131.0","Arizona","AZ","08","H6AZ08012","","Mike (Michael T.)","Jenkins","Jenkins, Mike (Michael T.)","","REP","2075.0","0.03238341968911917","","","","","","","","",""
"132.0","Arizona","AZ","08","","","","","","Party Votes:","REP","64076.0","","","","","","","","","",""
"133.0","Arizona","AZ","08","H6AZ08137","","David F.","Nolan","Nolan, David F.","","LBT","516.0","1.0","","","4849.0","0.019111619107677755","","","","",""
"134.0","Arizona","AZ","08","","","","","","Party Votes:","LBT","516.0","","","","","","","","","",""
"135.0","Arizona","AZ","08","H6AZ08103","","Jay","Quick","Quick, Jay","","IND","","","","","4408.0","0.017373482579221187","","","","",""
"136.0","Arizona","AZ","08","H6AZ08145","","Russ","Dove","Dove, Russ","","W","","","","","7.0","2.7589468705659784e-05","","","","",""
"137.0","Arizona","AZ","08","H6AZ08160","","Paul ","Price","Price, Paul ","","W","","","","","7.0","2.7589468705659784e-05","","","","",""
"138.0","Arizona","AZ","08","H6AZ08152","","Leo F., Sr.","Kimminau","Kimminau, Leo F., Sr.","","W","","","","","4.0","1.5765410688948448e-05","","","","",""
"139.0","Arizona","AZ","08","","","","","","District Votes:","","126001.0","","","","253720.0","","","","","",""
"140.0","Arizona","AZ","H","","","","","","House Votes:","","498924.0","","","","1493150.0","","","","","",""
"141.0","Arkansas","AR","01","H6AR01072","(I)","Marion","Berry","Berry, Marion","","DEM","Unopposed","","","","127577.0","0.6926455577996395","","","","",""
"142.0","Arkansas","AR","01","H6AR01106","","Mickey ""Stubby""","Stumbaugh","Stumbaugh, Mickey ""Stubby""","","REP","Unopposed","","","","56611.0","0.3073544422003605","","","","",""
"143.0","Arkansas","AR","01","","","","","","District Votes:","","","","","","184188.0","","","","","",""
"144.0","Arkansas","AR","02","H6AR02203","(I)","Vic","Snyder","Snyder, Vic","","DEM","Unopposed","","","","124871.0","0.6052796129964179","","","","",""
"145.0","Arkansas","AR","02 ","H6AR02229","","Andy","Mayberry","Mayberry, Andy","","REP","12460.0","0.7730487653555032","","","81432.0","0.3947203870035821","","","","",""
"146.0","Arkansas","AR","02","H6AR02237","","Tom","Formicola","Formicola, Tom","","REP","3658.0","0.22695123464449685","","","","","","","","",""
"147.0","Arkansas","AR","02","","","","","","Party Votes:","REP","16118.0","","","","","","","","","",""
"148.0","Arkansas","AR","02","","","","","","District Votes:","","16118.0","","","","206303.0","","","","","",""
"149.0","Arkansas","AR","03","H2AR03176","(I)","John","Boozman","Boozman, John","","REP","Unopposed","","","","125039.0","0.6223198821444924","","","","",""
"150.0","Arkansas","AR","03","H6AR03086","","Woodrow","Anderson","Anderson, Woodrow","","DEM","Unopposed","","","","75885.0","0.37768011785550754","","","","",""
"151.0","Arkansas","AR","03","","","","","","District Votes:","","","","","","200924.0","","","","","",""
"152.0","Arkansas","AR","04","H0AR04038","(I)","Mike","Ross","Ross, Mike","","DEM","Unopposed","","","","128236.0","0.7473134571901443","","","","",""
"153.0","Arkansas","AR","04","H6AR04068","","Joe","Ross","Ross, Joe","","REP","Unopposed","","","","43360.0","0.2526865428098557","","","","",""
"154.0","Arkansas","AR","04","","","","","","District Votes:","","","","","","171596.0","","","","","",""
"155.0","Arkansas","AR","H","","","","","","House Votes:","","16118.0","","","","763011.0","","","","","",""
"156.0","California","CA","S","S0CA00199","(I)","Dianne","Feinstein","Feinstein, Dianne","","DEM","2176888.0","0.8695833494782431","","","5076289.0","0.5943105149508118","","","","",""
"157.0","California","CA","S","S6CA00527","","Colleen ","Fernald","Fernald, Colleen ","","DEM","199180.0","0.07956477850448736","","","","","","","","",""
"158.0","California","CA","S","S6CA00519","","Martin Luther","Church","Church, Martin Luther","","DEM","127301.0","0.050851872017269525","","","","","","","","",""
"159.0","California","CA","S","","","","","","Party Votes:","DEM","2503369.0","","","","","","","","","",""
"160.0","California","CA","S","S6CA00501","","Richard ""Dick""","Mountjoy","Mountjoy, Richard ""Dick""","","REP","1560472.0","1.0","","","2990822.0","0.35015283072855324","","","","",""
"161.0","California","CA","S","","","","","","Party Votes:","REP","1560472.0","","","","","","","","","",""
"162.0","California","CA","S","S6CA00485","","Todd ","Chretien","Chretien, Todd ","","GRE","12821.0","0.4613862098747661","","","147074.0","0.017218803869495154","","","","",""
"163.0","California","CA","S","S6CA00535","","Tian ","Harter","Harter, Tian ","","GRE","10318.0","0.3713113574204693","","","","","","","","",""
"164.0","California","CA","S","S6CA00543","","Kent P.","Mesplay","Mesplay, Kent P.","","GRE/W","4649.0","0.16730243270476464","","","160.0","1.8732125454663808e-05","","","","",""
"165.0","California","CA","S","","","","","","Party Votes:","GRE","27788.0","","","","","","","","","",""
"166.0","California","CA","S","S6CA00550","","Michael S.","Metti","Metti, Michael S.","","LBT","16742.0","1.0","","","133851.0","0.015670710776451283","","","","",""
"167.0","California","CA","S","","","","","","Party Votes:","LBT","16742.0","","","","","","","","","",""
"168.0","California","CA","S","S4CA00357","","Marsha ","Feinland","Feinland, Marsha ","","PAF","4109.0","1.0","","","117764.0","0.01378731263776893","","","","",""
"169.0","California","CA","S","","","","","","Party Votes:","PAF","4109.0","","","","","","","","","",""
"170.0","California","CA","S","S4CA00332","","Don J.","Grundmann","Grundmann, Don J.","","AIP","30787.0","1.0","","","75350.0","0.008821660331305737","","","","",""
"171.0","California","CA","S","","","","","","Party Votes:","AIP","30787.0","","","","","","","","","",""
"172.0","California","CA","S","","","Jeffrey","Mackler","Mackler, Jeffrey","","W","","","","","108.0","1.264418468189807e-05","","","","",""
"173.0","California","CA","S","","","Lea","Sherman","Sherman, Lea","","W","","","","","47.0","5.502561852307494e-06","","","","",""
"174.0","California","CA","S","","","Connor","Vlakancic","Vlakancic, Connor","","W","","","","","11.0","1.2878336250081367e-06","","","","",""
"175.0","California","CA","S","","","","","","Senate Votes:","","4143267.0","","","","8541476.0","","","","","",""
"176.0","California","CA","01","H8CA01109","(I)","Mike ","Thompson","Thompson, Mike ","","DEM","79138.0","1.0","","","144409.0","0.6622929317018583","","","","",""
"177.0","California","CA","01","","","","","","Party Votes:","DEM","79138.0","","","","","","","","","",""
"178.0","California","CA","01","H6CA01152","","John W.","Jones","Jones, John W.","","REP","41953.0","1.0","","","63194.0","0.28982223771348903","","","","",""
"179.0","California","CA","01","","","","","","Party Votes:","REP","41953.0","","","","","","","","","",""
"180.0","California","CA","01","H0CA01130","","Pamela","Elizondo","Elizondo, Pamela ","","GRE","2952.0","1.0","","","6899.0","0.03164040285446974","","","","",""
"181.0","California","CA","01","","","","","","Party Votes:","GRE","2952.0","","","","","","","","","",""
"182.0","California","CA","01","H6CA001160","","Timothy J.","Stock","Stock, Timothy J.","","PAF","168.0","1.0","","","3503.0","0.016065564748399406","","","","",""
"183.0","California","CA","01","","","","","","Party Votes:","PAF","168.0","","","","","","","","","",""
"184.0","California","CA","01","","","Carol","Wolman","Wolman, Carol","","W","","","","","39.0","0.00017886298178349324","","","","",""
"185.0","California","CA","01","","","","","","District Votes:","","124211.0","","","","218044.0","","","","","",""
"186.0","California","CA","02","H6CA02010","(I)","Wally ","Herger","Herger, Wally ","","REP","69669.0","1.0","","","134911.0","0.6418159674979306","","","","",""
"187.0","California","CA","02","","","","","","Party Votes:","REP","69669.0","","","","","","","","","",""
"188.0","California","CA","02","H4CA02072","","A. J.","Sekhon","Sekhon, A. J.","","DEM","23663.0","0.550084850175512","","","68234.0","0.3246115641145184","","","","",""
"189.0","California","CA","02","H6CA02192","","Bill ","Falzett","Falzett, Bill ","","DEM","19311.0","0.44891554501708625","","","","","","","","",""
"190.0","California","CA","02","H6CA02218","","Robert","Seals","Seals, Robert","","W(DEM)","43.0","0.000999604807401725","","","","","","","","",""
"191.0","California","CA","02","","","","","","Party Votes:","DEM","43017.0","","","","","","","","","",""
"192.0","California","CA","02","H6CA02200","","E. Kent","Hinesley","Hinesley, E. Kent","","LBT","570.0","1.0","","","7057.0","0.03357246838755102","","","","",""
"193.0","California","CA","02","","","","","","Party Votes:","LBT","570.0","","","","","","","","","",""
"194.0","California","CA","02","","","","","","District Votes:","","113256.0","","","","210202.0","","","","","",""
"195.0","California","CA","03","H6CA34112","(I)","Dan","Lungren","Lungren, Dan","","REP","56968.0","1.0","","","135709.0","0.5947740490601264","","","","",""
"196.0","California","CA","03","","","","","","Party Votes:","REP","56968.0","","","","","","","","","",""
"197.0","California","CA","03","H6CA03091","","Bill","Durston","Durston, Bill","","DEM","42980.0","1.0","","","86318.0","0.3783073073029202","","","","",""
"198.0","California","CA","03","","","","","","Party Votes:","DEM","42980.0","","","","","","","","","",""
"199.0","California","CA","03","H8CA05134","","Douglas Arthur","Tuma","Tuma, Douglas Arthur","","LBT","465.0","1.0","","","3772.0","0.01653160595874111","","","","",""
"200.0","California","CA","03","","","","","","Party Votes:","LBT","465.0","","","","","","","","","",""
"201.0","California","CA","03","H6CA03109","","Michael","Roskey","Roskey, Michael","","PAF","83.0","1.0","","","2370.0","0.010387037678212202","","","","",""
"202.0","California","CA","03","","","","","","Party Votes:","PAF","83.0","","","","","","","","","",""
"203.0","California","CA","03","","","","","","District Votes:","","100496.0","","","","228169.0","","","","","",""
